Team,Skill-Gap,num_times_cluster_0,num_times_cluster_1,dominant_cluster,percent_dominant_cluster,sample_size (num_games)
Milan,0,6.0,6.0,0,50.0,12.0
Milan,1,14.0,6.0,0,70.0,20.0
Crotone,-1,0.0,20.0,1,100.0,20.0
Crotone,0,5.0,11.0,1,68.75,16.0
Crotone,1,0.0,2.0,1,100.0,2.0
Napoli,-1,0.0,0.0,0,0.0,0.0
Napoli,0,2.0,0.0,0,100.0,2.0
Napoli,1,33.0,3.0,0,91.67,36.0
Hellas Verona,-1,5.0,31.0,1,86.11,36.0
Hellas Verona,0,0.0,2.0,1,100.0,2.0
Hellas Verona,1,0.0,0.0,0,0.0,0.0
Internazionale,-1,0.0,4.0,1,100.0,4.0
Internazionale,0,5.0,1.0,0,83.33,6.0
Internazionale,1,26.0,2.0,0,92.86,28.0
Fiorentina,-1,5.0,5.0,0,50.0,10.0
Fiorentina,0,2.0,6.0,1,75.0,8.0
Fiorentina,1,13.0,7.0,0,65.0,20.0
Juventus,-1,0.0,0.0,0,0.0,0.0
Juventus,0,0.0,2.0,1,100.0,2.0
Juventus,1,33.0,3.0,0,91.67,36.0
Cagliari,-1,1.0,19.0,1,95.0,20.0
Cagliari,0,3.0,11.0,1,78.57,14.0
Cagliari,1,1.0,3.0,1,75.0,4.0
Lazio,-1,0.0,4.0,1,100.0,4.0
Lazio,0,1.0,5.0,1,83.33,6.0
Lazio,1,22.0,6.0,0,78.57,28.0
SPAL,-1,1.0,19.0,1,95.0,20.0
SPAL,0,4.0,10.0,1,71.43,14.0
SPAL,1,3.0,1.0,0,75.0,4.0
Sampdoria,-1,2.0,10.0,1,83.33,12.0
Sampdoria,0,2.0,4.0,1,66.67,6.0
Sampdoria,1,19.0,1.0,0,95.0,20.0
Benevento,-1,11.0,25.0,1,69.44,36.0
Benevento,0,1.0,1.0,0,50.0,2.0
Benevento,1,0.0,0.0,0,0.0,0.0
Genoa,-1,3.0,17.0,1,85.0,20.0
Genoa,0,5.0,9.0,1,64.29,14.0
Genoa,1,2.0,2.0,0,50.0,4.0
Sassuolo,-1,1.0,19.0,1,95.0,20.0
Sassuolo,0,3.0,11.0,1,78.57,14.0
Sassuolo,1,1.0,3.0,1,75.0,4.0
Udinese,-1,4.0,16.0,1,80.0,20.0
Udinese,0,4.0,10.0,1,71.43,14.0
Udinese,1,2.0,2.0,0,50.0,4.0
Chievo,-1,1.0,19.0,1,95.0,20.0
Chievo,0,6.0,8.0,1,57.14,14.0
Chievo,1,3.0,1.0,0,75.0,4.0
